Id,Title,Author
1,Darkness,Laurann Dohner
2,Ten Thousand Skies Above You,Claudia Gray
3,Love You to Death / High Stakes,Meg Cabot
4,The Last Days,Scott Westerfeld
5,Grave Doubts / Heaven Sent,Meg Cabot
6,Hunted,Evangeline Anderson
7,MILA 2.0,Debra Driza
8,"Vampire Kisses: Blood Relatives, Vol. 1",Ellen Schreiber
9,Kissing Sin,Keri Arthur
10,Glow,Amy Kathleen Ryan
11,"Nyx in the House of Night: Mythology, Folklore and Religion in the PC and Kristin Cast Vampyre Series",P.C. Cast
12,The Locket,Stacey Jay
13,"Dearly, Departed",Lia Habel
14,The Other Life,Susanne Winnacker
15,Ice Planet Barbarians,Ruby Dixon
16,The Assassins of Tamurin,S.D. Tower
17,Blood Ransom,Sophie McKenzie
18,Possession of My Soul,Kia Carrington-Russell
19,Werewolf Nights,Mari Hamill
20,The Exemeus,Folami Morris
21,The Culling,Steven dos Santos
22,Archenemies,Marissa Meyer
23,Enchanted,Alethea Kontis
24,Ral's Woman,Laurann Dohner
25,Lovely War,Julie Berry
26,Wicked Wonderland,Lisa Whitefern
27,The Next Together,Lauren   James
28,Cage of Darkness,Jennifer Anne Davis
29,Cage of Destiny,Jennifer Anne Davis
30,The Darkangel Trilogy,Meredith Ann Pierce
31,Deadly Games,Lindsay Buroker
32,Empress of All Seasons,Emiko Jean
33,Grave Secret,Charlaine Harris
34,Knife Edge,Malorie Blackman
35,Alas de fuego,Laura Gallego GarcÃ­a
36,Divergent Series Box Set,Veronica Roth
37,The Nightlife: Las Vegas,Travis Luedke
38,Blood Slave,Travis Luedke
39,Perfect Lies,Kiersten White
40,Companions of the Night,Vivian Vande Velde
41,Checkmate,Malorie Blackman
42,The Binding,L. Filloon
43,Touched,Corrine Jackson
44,Legend: The Graphic Novel,Marie Lu
45,Mona Lisa Blossoming,Sunny
46,Mona Lisa Darkening,Sunny
47,The Decoy Princess,Dawn Cook
48,Parallel,Claudia Lefeve
49,Winterkill,Kate A. Boorman
50,"A New Life: The Chronicles of the Reverie, Novella 1",Natomi Karkael
51,Double Cross,Malorie Blackman
52,A Vampire's Saving Embrace,Darlene Kuncytes
53,An Enchantment of Ravens,Margaret  Rogerson
54,Strange and Ever After,Susan Dennard
55,Firstlife,Gena Showalter
56,The Epilogue,Kiera Cass
